Table 5.1. Saving and Investment by Sector
Table 5.1. Saving and Investment by Sector
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
39,"    Government",-551.2,-807.3,-1093.2,-1345.8,-1998.3,-2195.7,-2207.1,-2023.4,-2087.5,-2189.3,-2322.0,-2256.9
40,"        Federal",-678.5,-1385.3,-1175.0,-1358.2,-1912.5,-2075.1,-2045.7,-1885.9,-1926.8,-1986.5,-2154.8,-2179.5
41,"        State and local",127.3,578.0,81.8,12.4,-85.8,-120.6,-161.4,-137.5,-160.7,-202.8,-167.1,-77.4
42,"        Statistical discrepancy",-139.7,-106.9,-182.7,126.9,199.9,224.5,339.8,214.3,124.9,194.8,319.6,179.6
,Addenda:,,,,,,,,,,,,
43,"    Gross private saving",4670.1,4732.2,5177.7,5265.9,5577.8,5711.8,5794.4,5963.9,6107.0,6183.6,6073.5,6212.4
44,"        Domestic business",3277.6,3517.5,3752.3,3759.6,3788.7,3835.7,3994.4,4157.5,4092.8,4246.0,4296.5,4515.6
45,"        Households and institutions",1392.5,1214.7,1425.4,1506.2,1789.1,1876.1,1800.0,1806.4,2014.2,1937.6,1777.0,1696.8
46,"    Gross government saving",-26.4,-26.6,-263.4,-477.0,-916.0,-956.7,-989.6,-942.3,-1003.8,-1081.0,-1170.6,-1106.8
47,"        Federal",-550.3,-552.3,-690.3,-856.7,-1266.0,-1283.9,-1296.5,-1306.4,-1356.8,-1396.7,-1528.3,-1478.9
48,"        State and local",523.9,525.6,426.9,379.8,350.1,327.2,306.9,364.1,353.0,315.7,357.7,372.2
49,"    Net domestic investment",1488.6,1385.4,1312.1,1394.2,1280.4,1338.3,1447.8,1467.8,1486.7,1577.7,1578.6,1475.6
50,"        Private",1336.5,1236.1,1166.7,1226.6,1103.2,1139.4,1230.7,1222.2,1241.9,1320.9,1306.3,1197.6
51,"            Domestic business",851.2,775.3,778.5,894.0,769.2,808.3,890.7,875.0,847.6,943.3,938.8,808.8
52,"            Households and institutions",485.3,460.8,388.2,332.6,334.0,331.1,340.0,347.2,394.3,377.6,367.5,388.8
53,"        Government",152.1,149.4,145.4,167.6,177.2,199.0,217.2,245.6,244.8,256.8,272.3,278.0
54,"            Federal",47.2,50.0,43.2,60.7,62.6,66.6,63.7,64.1,53.5,61.0,70.2,71.0
55,"            State and local",104.8,99.4,102.2,106.9,114.6,132.3,153.4,181.5,191.3,195.9,202.1,207.0
56,"    Gross saving as a percentage of gross national income",18.2,18.0,18.5,17.9,17.2,17.4,17.3,17.8,17.9,17.7,16.9,17.2
57,"    Net saving as a percentage of gross national income",1.9,1.6,2.0,1.3,0.6,0.7,0.7,1.3,1.4,1.1,0.2,0.6
58,"    Disaster losses2",0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,120.0
59,"        Private",0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,108.0
60,"            Domestic business",0.0,0.0,111.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,34.0
61,"            Households and institutions",0.0,0.0,116.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,74.0
62,"        Government",0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0
63,"            Federal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"            State and local",0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0

Legend/Footnotes
"1. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets. Prior to 1982, reflects only capital grants paid to the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands."
2. Consists of damages to fixed assets.
