Table 3.12. Government Social Benefits
Table 3.12. Government Social Benefits
"Last Revised on: September 27, 2024"
Line,,2016,2017,2018,2019,2020,2021,2022,2023
22,"        Black lung benefits",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
23,"        Supplemental security income",52.1,52.0,52.5,53.4,53.6,52.7,54.3,57.9
24,"        Direct relief",---,---,---,---,---,---,---,---
25,"        Refundable tax credits6",130.8,136.9,148.3,157.7,430.7,855.5,342.8,191.3
26,"        Other7",65.5,63.2,60.6,61.5,191.7,106.2,92.0,82.7
27,"    State and local",693.1,709.7,731.1,762.7,815.7,907.7,1028.3,1081.2
28,"        Benefits from social insurance funds",15.1,15.0,15.4,16.4,17.5,18.2,18.8,20.2
29,"            Temporary disability insurance",6.5,6.8,7.6,8.5,9.3,9.8,10.0,11.7
30,"            Workers' compensation",8.6,8.3,7.7,7.9,8.2,8.5,8.8,8.5
31,"        Public assistance",640.0,653.3,670.8,697.2,745.6,829.0,938.0,982.6
32,"            Medical care",574.2,585.3,602.0,626.8,671.1,749.8,827.5,892.1
33,"                Medicaid",562.8,573.7,589.8,614.0,657.6,736.5,814.4,878.1
34,"                Other medical care8",11.4,11.6,12.3,12.8,13.4,13.2,13.1,13.9
35,"            Family assistance9",20.2,20.0,20.0,20.1,20.5,20.7,21.2,21.5
36,"            Supplemental security income10",4.3,4.4,4.3,4.3,4.3,4.2,4.7,5.0
37,"            General assistance",20.3,22.4,22.9,24.0,27.0,30.3,57.2,36.7
38,"            Energy assistance",3.6,3.5,3.9,4.0,4.2,5.6,7.7,6.3
39,"            Other11",17.4,17.6,17.6,18.0,18.5,18.5,19.7,21.0
40,"        Education",35.0,38.2,41.3,45.4,49.1,56.7,66.5,74.0
41,"        Employment and training",1.0,1.1,1.2,1.3,1.3,1.5,1.3,1.4
42,"        Other12",2.0,2.0,2.4,2.5,2.1,2.2,3.6,3.1
43,To the rest of the world13,20.9,21.8,22.8,24.0,34.0,32.6,28.8,32.0

Legend/Footnotes
"1. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
2. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.
3. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary facilities.
"4. Prior to 1965, consists of mustering out pay, terminal leave pay, and adjusted compensation benefits. For 2015 forward, includes reimbursements for health care services received at private facilities."
"5. Prior to October 2008, benefits for the Supplemental Nutrition Assistance Program were called Food Stamp benefits."
6. Includes the amounts by which federal refundable tax credits reduce personal current tax liabilities and liabilities to pay contributions for government social insurance as well as the outlays that are distributed when the amount of federal refundable tax credits exceeds an individual's federal tax liabilities.
"7. Consists largely of payments to nonprofit institutions; aid to students; payments for medical services for retired military personnel and their dependents at nonmilitary facilities; disaster relief; workers' compensation benefits for federal employees (FECA); Payments from the September 11 Victims' Compensation Fund; additional unemployment benefits, COBRA premium subsidies, and one-time payments to recipients of Social Security, SSI, Veterans Pensions, and Railroad Retirement benefits established by the American Recovery and Reinvestment Act of 2009; and health insurance co-payment and cost-sharing benefits established by the Patient Protection and Affordable Care Act."
8. Consists of general medical assistance and state child health care programs.
"9. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996."
"10. Prior to 1974, consists of old-age assistance, aid to the blind, and aid to the permanently and totally disabled, when the programs were partly federally funded."
"11. Consists of expenditures for food under the supplemental program for women, infants, and children; foster care; adoption assistance; and payments to nonprofit welfare institutions."
"12. Consists largely of veterans' benefits, Alaska dividends, and crime-victim payments."
13. Consists of federal government social benefits to the rest of the world and includes benefits paid to individuals in the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.
