Table 3.1. Government Current Receipts and Expenditures
Table 3.1. Government Current Receipts and Expenditures
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
38,"        Current expenditures",8546.8,8706.3,8847.1,9078.2,9163.7,9240.7,9387.4,9456.6,9692.1,9815.2,10010.6,10097.8
39,"        Gross government investment",858.7,877.6,889.8,922.9,943.7,971.6,997.5,1033.4,1040.9,1060.9,1087.4,1102.9
40,"        Capital transfer payments",14.5,49.0,68.8,27.1,165.5,295.9,250.2,73.8,66.8,71.9,89.7,84.4
41,"        Net purchases of nonproduced assets",-309.2,-2.3,-75.6,14.6,15.5,15.8,12.1,15.8,15.4,14.3,15.1,15.3
42,"        Less: Consumption of fixed capital",706.6,728.2,744.4,755.2,766.5,772.6,780.4,787.9,796.1,804.1,815.1,824.8
43,"    Net lending or net borrowing (-)",-551.2,-807.3,-1093.2,-1345.8,-1998.3,-2195.7,-2207.1,-2023.4,-2087.5,-2189.3,-2322.0,-2256.9

Legend/Footnotes
1. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.
"2. Prior to 1960, interest payments to persons (line 28) and interest receipts on line 12 are not shown separately, but are included in interest payments (line 27), which is shown net of interest receipts. Interest payments to persons and business includes interest accrued on the actuarial liabilities of defined benefit pension plans for government employees."
"3. Prior to 1999, current transfer payments to the rest of the world (line 26) are displayed net of current transfer receipts from the rest of the world (line 18)."
"4. Prior to 1959, subsidies (line 30) and the current surplus of government enterprises (line 19) are not shown separately; subsidies are presented net of the current surplus of government enterprises."
"5. Prior to 1960, government social benefits to the rest of the world are included in line 26, 'Other current transfer payments to the rest of the world.'"
