Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households
Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households
"Last Revised on: December 10, 2024"
Line,,2016,2017,2018,2019,2020,2021,2022,2023
45,Equals: Household saving,861.5,946.9,1106.3,1304.3,2707.0,2116.5,710.8,1162.0
46,"        Household saving as a percentage of household disposable income",6.2,6.5,7.2,8.1,15.7,11.3,3.8,5.7
47,Nonprofit institution income,405.9,431.5,456.6,439.6,591.9,593.4,576.3,550.6
48,"    Rental income of nonprofit institutions with capital consumption adjustment",9.2,8.6,8.9,9.4,9.8,10.2,11.1,12.4
49,"    Nonprofit institution income receipts on assets",48.8,55.8,58.4,58.3,55.9,62.7,68.2,74.0
50,"        Nonprofit institution interest income",18.6,20.9,23.9,25.4,22.3,21.9,24.1,27.7
51,"        Nonprofit institution dividend income",30.3,34.9,34.4,32.9,33.7,40.8,44.1,46.3
52,"    Nonprofit institution transfer receipts",347.9,367.1,389.3,371.9,526.2,520.5,496.9,464.2
53,"        From government",23.6,23.7,24.6,26.5,120.3,71.4,57.8,30.2
54,"        From business (net)",19.2,19.2,28.1,23.9,29.9,34.8,36.0,36.3
55,"        From households4",305.2,324.2,336.6,321.4,376.1,414.3,403.1,397.7
56,Less: Nonprofit institution outlays,521.3,536.7,566.2,565.7,639.9,614.2,721.0,745.4
57,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",388.3,396.4,420.9,417.7,482.0,440.8,536.9,554.1
58,"        Gross output of nonprofit institutions5",1454.4,1501.2,1576.7,1636.9,1655.2,1754.9,1911.7,2039.9
59,"            Health",833.3,860.0,900.9,945.0,942.8,1022.0,1102.4,1174.9
60,"            Recreation",55.7,58.9,61.3,63.5,58.7,61.5,71.0,77.5
61,"            Education",190.0,198.1,206.6,214.1,213.2,220.5,241.7,259.7
62,"            Social services",154.5,163.4,169.8,175.9,185.4,198.4,211.3,227.9
63,"            Religious organizations",98.7,100.2,100.5,103.0,102.5,108.4,113.4,117.0
64,"            Foundations and grantmaking and giving establishments",34.8,35.2,37.6,40.3,36.7,43.0,48.0,56.8
65,"            Social advocacy establishments",21.4,23.0,24.3,25.5,27.4,31.4,33.2,39.3
66,"            Civic and social organizations",12.0,12.6,13.3,13.8,12.3,13.1,16.7,19.8
67,"            Professional advocacy",54.0,49.8,62.5,55.6,76.3,56.5,73.9,67.0
68,"        Less: Receipts from sales of goods and services by nonprofit institutions3",1066.1,1104.8,1155.8,1219.2,1173.3,1314.1,1374.8,1485.8
69,"            Health",808.9,832.2,873.5,927.3,881.1,992.9,1034.3,1118.1
70,"            Recreation",25.8,28.4,29.0,30.5,25.5,30.2,33.2,37.6
71,"            Education",112.8,116.6,120.8,123.9,125.0,131.2,138.2,144.5
72,"            Social services",67.9,73.8,76.9,79.6,84.6,96.3,103.6,111.4
73,"            Religious organizations",7.5,7.6,7.6,7.8,7.8,8.2,8.6,8.9
74,"            Foundations and grantmaking and giving establishments",4.0,4.3,4.5,4.9,5.4,7.8,6.5,8.3
75,"            Social advocacy establishments",1.8,1.9,2.0,2.1,2.3,2.6,2.7,3.5
76,"            Civic and social organizations",5.6,5.8,6.0,6.3,5.5,6.5,7.6,9.7
77,"            Professional advocacy",31.8,34.2,35.5,36.8,36.1,38.4,40.1,43.7
78,"    Nonprofit institution current transfer payments",133.0,140.3,145.2,148.0,158.0,173.4,184.2,191.3
79,"        To government6",0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7
80,"        To the rest of the world (net)",30.8,33.6,33.3,32.8,35.4,41.0,48.7,49.9
81,"        To households2",101.7,106.1,111.4,114.6,121.9,131.8,134.8,140.7
82,Equals: Nonprofit institution saving,-115.3,-105.3,-109.6,-126.1,-48.0,-20.8,-144.7,-194.8
83,"        Nonprofit institution saving as a percentage of nonprofit income and receipts from sales",-7.8,-6.9,-6.8,-7.6,-2.7,-1.1,-7.4,-9.6
,Addenda:,,,,,,,,
84,"    Nonprofit institution income included in personal income7",100.7,107.3,120.0,118.1,215.8,179.1,173.2,152.9
85,"    Transfer payments between nonprofit institutions8",104.9,109.4,101.5,103.8,103.1,111.4,113.9,118.9
86,"    Nonprofit institution income and receipts from sales",1472.0,1536.2,1612.3,1658.7,1765.2,1907.5,1951.2,2036.4

Legend/Footnotes
1. Consists of nonmortgage interest paid by households.
"2. Includes benefits paid to members, specific assistance to individuals, and grants and allocations."
"3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the world; includes membership dues and fees."
4. Includes individual contributions and bequests from households.
"5. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the rest of the world; excludes own-account investment (construction and software)."
6. Consists of excise taxes paid by nonprofit institutions serving households.
"7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets (line 49), transfer receipts from government (line 53), and transfer receipts from business (line 54)."
"8. Includes grants and allocations made by nonprofit institutions that indirectly support households through the support of other nonprofit institutions, plus their payments to affiliates."
Note. Estimates in this table exclude nonprofit institutions serving business and government.
